code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
0829;ADJOINT TECHNIQUE DES ETABLISSEMENTS D'ENSEIGNEMENT DE DEUXIEME CLASSE (ECH 3);TTA1;;ADJOINT TECHNIQUE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH C1);Adjoint technique;TTA2;DÉCRET N°2007-913 DU 15/05/07, LE 01/11/06 CF L'ART 57 DE LA LOI N°2007-148 DU 02/02/07 :  ILS SONT CHARGÉS DES TÂCHES NÉCESSAIRES AU FONCTIONNEMENT DES SERVICES MATÉRIELS DES ÉTABTS D'ENSEIGNT, DANS LE DOMAINE DE L'ACCUEIL, DE L'ENTRETIEN DES ESPACES VERTS, DE L'HEBERGEMENT, DE L'HYGIÈNE, DE LA MAINTENANCE MOBILIÈRE ET IMMOB , DE LA RESTAURATION ET DES TRANSPORTS ET DE LA CONDUITE DES VÉHICULES. LES AGENTS TECHNIQUES INTÉGRÉS DANS CE GRADE, SONT RECLASSÉS DANS LE GRADE D'ADJOINT TECHNIQUE DE 1ER CLASSE EN 3 TRANCHES ANNUELLES DU 01/01/07 AU 31/12/09 À IDENTITÉ D'ÉCHELON ET CONSERVATION D'ANCIENNETÉ
0830;ADJOINT TECHNIQUE DES ETABLISSEMENTS D'ENSEIGNEMENT DE PREMIERE CLASSE (ECH 4);TTA2;Adjoint technique;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTA3;DÉCRET N°2007-913 DU 15/05/07, LE 01/11/06 CF L'ART 57 DE LA LOI N°2007-148 DU 02/02/07 : ILS SONT CHARGÉS DES TÂCHES NÉCESSAIRES AU FONCTIONNEMENT DES SERVICES MATÉRIELS DES ÉTABTS D'ENSEIGNT, DANS LE DOMAINE DE L'ACCUEIL, DE L'ENTRETIEN DES ESPACES VERTS, DE L'HEBERGEMENT, DE L'HYGIÈNE, DE LA MAINTENANCE MOBILIÈRE ET IMMOB , DE LA RESTAURATION ET DES TRANSPORTS ET DE LA CONDUITE DES VÉHICULES.. ILS PEUVENT EXÉCUTER DES TRAVAUX OUVRIERS OU TECHNIQUES NÉCESSITANT UNE QUALIFICATION PROFESSIONNELLE
0831;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH 5/ECH C2);TTA3;Adjoint technique principal de 2ème classe;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTA3;DÉCRET N°2007-913 DU 15/05/07, LE 01/11/06 CF L'ART 57 DE LA LOI N°2007-148 DU 02/02/07 ILS SONT CHARGÉS DES TÂCHES NÉCESSAIRES AU FONCTIONNEMENT DES SERVICES MATÉRIELS DES ÉTABTS D'ENSEIGNT, DANS LE DOMAINE DE L'ACCUEIL, DE L'ENTRETIEN DES ESPACES VERTS, DE L'HEBERGEMENT, DE L'HYGIÈNE, DE LA MAINTENANCE MOBILIÈRE ET IMMOB , DE LA RESTAURATION ET DES TRANSPORTS ET DE LA CONDUITE DES VÉHICULES ILS PEUVENT EXÉCUTER ÉGAL, DES TRAVAUX OUVRIERS OU TECHNIQUES NÉCESSITANT UNE QUALIFICATION APPROFONDIE, OU DE CONDUITE DES TRAVAUX D'UN GROUPE D'ADJT TECH ET DIRIGER LES ÉQUIPES ET EFFECTUER DES TRAVAUX D'ORGANISATION ET DE COORDINATION PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0832;ADJOINT TECHNIQUE PRINCIPAL DE PREMIERE CLASSE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH 6/ ECH C3);TTA4;Adjoint technique principal de 1ère classe;ADJOINT TECHNIQUE PRINCIPAL DE PREMIERE CLASSE DES ETABLISSEMENTS D'ENSEIGNEMENT (ECH 6/ ECH C3);Adjoint technique principal de 1ère classe;TTA4;DÉCRET N°2007-913 DU 15/05/07, LE 01/11/06 CF L'ART 57 DE LA LOI N°2007-148 DU 02/02/07 ILS SONT CHARGÉS DES TÂCHES NÉCESSAIRES AU FONCTIONNEMENT DES SERVICES MATÉRIELS DES ÉTABTS D'ENSEIGNT, DANS LE DOMAINE DE L'ACCUEIL, DE L'ENTRETIEN DES ESPACES VERTS, DE L'HEBERGEMENT, DE L'HYGIÈNE, DE LA MAINTENANCE MOBILIÈRE ET IMMOB , DE LA RESTAURATION ET DES TRANSPORTS ET DE LA CONDUITE DES VÉHICULES ILS PEUVENT EXÉCUTER ÉGAL, DES TRAVAUX OUVRIERS OU TECHNIQUES NÉCESSITANT UNE QUALIFICATION APPROFONDIE, OU DE CONDUITE DES TRAVAUX D'UN GROUPE D'ADJT TECH ET DIRIGER LES ÉQUIPES ET EFFECTUER DES TRAVAUX D'ORGANISATION ET DE COORDINATION GRILLE DE RÉFÉRENCE DE L'E06110 + ÉCHELON SPÉCIAL, REVALO DE L'E06110 DECRET 2013-587 DU 4/07/2013 PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16, CE GRADE (E06) EST RÉFÉRENCÉ À (EC3)
0834;CONTREMAITRE PRINCIPAL (ECHS6);4112;Contremaître principal;AGENT DE MAITRISE PRINCIPAL (ECH 6/ECH C3);Agent de maîtrise principal;4114;ÉCHELON SPÉCIAL CRÉÉ CF AU DÉCRET N°2007-836 DU 11/05/07 ACCESSIBLE DU 7ÈME ÉCHELON DE L'ÉCHELLE 6 AVANCEMENT MINIMUM : 3 ANS MAXIMUM : 4 ANS CONFORMEMENT AU DECRET N°2008-1268 DU 3/12/2008 (REVALO DES ÉCHELLES), L'INDICE DE L'ÉCHELON SPÉCIAL NE CHANGE PAS
0835;CONDUCTEUR AMBULANCIER HORS CATEGORIE (ECHELON SPECIAL);;;CONDUCTEUR AMBULANCIER PRINCIPAL (ECH C3);Conducteur ambulancier principal;4340;ÉCHELON SPÉCIAL CRÉÉ CF AU DÉCRET N°2007-836 DU 11/05/07 ACCESSIBLE DU 7ÈME ÉCHELON DE L'ÉCHELLE 6 AVANCEMENT MINIMUM : 3 ANS MAXIMUM : 4 ANS CONFORMEMENT AU DECRET N°2008-1268 DU 3/12/2008 (REVALO DES ÉCHELLES), L'INDICE DE L'ÉCHELON SPÉCIAL NE CHANGE PAS
0836;CHEF DE GARAGE PRINCIPAL (ECHELON SPECIAL);;;AGENT DE MAITRISE PRINCIPAL (ECH 6/ECH C3);Agent de maîtrise principal;4114;ÉCHELON SPÉCIAL CRÉÉ CF AU DÉCRET N°2007-836 DU 11/05/07 ACCESSIBLE DU 7ÈME ÉCHELON DE L'ÉCHELLE 6 AVANCEMENT MINIMUM : 3 ANS MAXIMUM : 4 ANS CONFORMEMENT AU DECRET N°2008-1268 DU 3/12/2008 (REVALO DES ÉCHELLES), L'INDICE DE L'ÉCHELON SPÉCIAL NE CHANGE PAS
0837;MAITRE OUVRIER PRINCIPAL (ECHELON SPECIAL);;;OUVRIER PRINCIPAL DE PREMIERE CLASSE (ECH C3);Ouvrier principal de 1ère classe;4205;ÉCHELON SPÉCIAL CRÉÉ CF AU DÉCRET N°2007-836 DU 11/05/07 ACCESSIBLE DU 7ÈME ÉCHELON DE L'ÉCHELLE 6 AVANCEMENT MINIMUM : 3 ANS MAXIMUM : 4 ANS CONFORMEMENT AU DECRET N°2008-1268 DU 3/12/2008 (REVALO DES ÉCHELLES), L'INDICE DE L'ÉCHELON SPÉCIAL NE CHANGE PAS
0839;AIDE SOIGNANT DE CLASSE NORMALE (ECH 4);3001;Aide-soignant de classe normale e4;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Aide-soignant de classe normale e4;3001;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES
0840;AIDE SOIGNANT DE CLASSE SUPERIEURE (ECH 5);3002;Aide-soignant de classe supérieure e5;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Aide-soignant de classe supérieure e5;3002;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES
0841;AIDE SOIGNANT DE CLASSE EXCEPTIONNELLE (ECH 6);3003;Aide-soignant de classe exceptionnelle e6;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE SUPERIEURE;Aide-soignant principal;3022;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES SUITE AU DECRET 2013-585 DU 04/07/2013 CHANGEMENT DE L'APPELLATION DE L'ECHELON SPECIAL POUR 8EME ECHELON
0842;AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE (ECH 4);3005;Auxiliaire de puériculture de classe normale e4;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Auxiliaire de puériculture;3025;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES
0843;AUXILIAIRE DE PUERICULTURE DE CLASSE SUPERIEURE (ECH 5);3006;Auxiliaire de puériculture de classe supérieure e5;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Auxiliaire de puériculture;3025;DÉCRET N° 2007-1188 DU 03/08/07 : ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES
0844;AUXILIAIRE DE PUERICULTURE DE CLASSE EXCEPTIONNELLE (ECH 6);3007;Auxiliaire de puériculture de classe exceptionnelle e6;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE SUPERIEURE;Auxiliaire de puériculture principal;3026;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES SUITE AU DECRET 2013-585 DU 04/07/2013 CHANGEMENT DE L'APPELLATION DE L'ECHELON SPECIAL POUR 8EME ECHELON
0845;AIDE MEDICO-PSYCHOLOGIQUE DE CLASSE NORMALE (ECH 4);3008;Aide médico-psychologique de classe normale e4;AIDE MEDICO-PSYCHOLOGIQUE (ECH C2);Aide médico-psychologique et accompagnant éducatif et social;3028;DÉCRET N° 2007-1188 DU 03/08/07 : ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES ILS PARTICIPENT AUX TÂCHES ÉDUCATIVES SOUS LA RESPONSABILITÉ DE L'ÉDUCATEUR
0846;AIDE MEDICO-PSYCHOLOGIQUE DE CLASSE SUPERIEURE (ECH 5);3009;Aide médico-psychologique de classe supérieure e5;AIDE MEDICO-PSYCHOLOGIQUE (ECH C2);Aide médico-psychologique et accompagnant éducatif et social;3028;DÉCRET N° 2007-1188 DU 03/08/07 ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES ILS PARTICIPENT AUX TÂCHES ÉDUCATIVES SOUS LA RESPONSABILITÉ DE L'ÉDUCATEUR
0847;AIDE MEDICO-PSYCHOLOGIQUE DE CLASSE EXCEPTIONNELLE (ECH 6);3010;Aide médico-psychologique de classe exceptionnelle e6;AGENT TECHNIQUE;Aide médico-psychologique et accompagnant éducatif et social principal;3029;DÉCRET N° 2007-1188 DU 03/08/07 : ILS COLLABORENT AUX SOINS INFIRMIERS ET PEUVENT ÊTRE CHARGÉS DU SERVICE DES PERSONNES DÉCÉDÉES, DE L'ACCUEIL DES FAMILLES ET DE LA PRÉPARATION DES ACTIVITÉS MÉDICALES SUR LE CORPS DES PERSONNES DÉCÉDÉES ..ILS PARTICIPENT AUX TÂCHES ÉDUCATIVES SOUS LA RESPONSABILITÉ DE L'ÉDUCATEUR SUITE AU DECRET 2013-585 DU 04/07/2013 CHANGEMENT DE L'APPELLATION DE L'ECHELON SPECIAL EN  8EME ECHELON
0848;INGENIEUR;5715;Ingénieur hospitalier;INGENIEUR;Ingénieur hospitalier;5715;"DÉCRET N° 2007-1186 DU 03/08/07 LES INGENIEURS HOSPITALIERS EXERCENT LEURS FONCTIONS DANS LES DOMAINES DE L'INGENERIE, DE L'ARCHITECTURE, DE L'APPAREILLAGE BIOMEDICALE, DE L'INFORMATIQUE OU DANS TOUT AUTRE DOMAINE A CARACTERE TECHNIQUE ET SCIENTIFIQUE..MODIFIÉ PAR DÉCRETS N° 2017-1374 ET 1378 ET ARRÊTÉ DU 20 SEPTEMBRE 2017: REVALORISATIONS AU 01/01/17; AU 01/01/18 ET AU 01/01/19 (PAS DE CHANGEMENT AU 01/01/20) ; LES DATES D'EFFET DES REVALORISATIONS AU TITRE DU PPCR ONT ÉTÉ REPORTÉES PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 28/12/17 À COMPTER DU 01/01/18, AU 01/01/2019 ET AU 01/01/2020..CONFORMÉMENT À LA CIRCULAIRE N° 2017-05 SUR LA MISE EN ¼UVRE DU PPCR, LA DURÉE D'AVANCEMENT DE CHAQUE ÉCHELON EST DEVENUE « FIXE » À COMPTER DU 01/01/2017..MODIFIÉ PAR DÉCRETS N°2018-999 ET 1000 ET ARRÊTÉ DU 16/11/18: À COMPTER DU 19/11/18 LE CORPS DES INGÉNIEURS DE L'APHP ET LE CORPS DES INGÉNIEURS FPH SONT REGROUPÉS ( SANS AUTRE CHANGEMENT POUR CE GRADE)"
0849;INGENIEUR PRINCIPAL;5725;Ingénieur hospitalier principal;INGENIEUR PRINCIPAL;Ingénieur hospitalier principal;5725;"DÉCRET N° 2007-1186 DU 03/08/07 DANS LES DOMAINES DE LEUR COMPETENCE, ILS COORDONNENT LES ACTIVITES QUI CONCOURRENT A LA REALISATION DES OBJECTIFS ARRETES PAR LE DIRECTEUR DE L'ETABLISSEMENT A CE TITRE, ILS REALISENT LES ETUDES PREALABLES ET METTENT AU POINT LES PROJETS, ELABORENT ET GERENT LES PROGRAMMES DONT ILS CONDUISENT LA REALISATION, PARTICIPENT AU CHOIX, A L'INSTALLATION ET A LA MISE EN OEUVRE DES EQUIPEMENTS, ASSURENT LA MAINTENANCE DES MATERIELS ET L'ENTRETIEN DES BATIMENTS..MODIFIÉ PAR LE DÉCRET N° 2017-1378 ET 1374 DU 20 SEPTEMBRE 2017 ET L'ARRÊTÉ DU 20 SEPTEMBRE 2017: REVALORISATIONS AU 01/01/2017; AU01/01/2018; AU 01/01/2019 ET AU 01/01/2020..LES DATES D'EFFET DES REVALORISATIONS AU TITRE DU PPCR ONT ÉTÉ REPORTÉES PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 28/12/17 À COMPTER DU 01/01/18, AU 01/01/2019, AU 01/01/2020 ET AU 01/01/2021..CONFORMÉMENT À LA CIRCULAIRE N° 2017-05 SUR LA MISE EN ¼UVRE DU PPCR, LA DURÉE D'AVANCEMENT DE CHAQUE ÉCHELON EST DEVENUE « FIXE » À COMPTER DU 01/01/2017..MODIFIÉ PAR DÉCRETS N°2018-999 ET 1000 ET ARRÊTÉ DU 16/11/18: À COMPTER DU 19/11/18 LE CORPS DES INGÉNIEURS DE L'APHP ET LE CORPS DES INGÉNIEURS FPH SONT REGROUPÉS ( SANS AUTRE CHANGEMENT POUR CE GRADE)"
0850;INGENIEUR EN CHEF DE CLASSE NORMALE;5735;Ingénieur hospitalier en chef de classe normale;INGENIEUR EN CHEF DE CLASSE NORMALE;Ingénieur hospitalier en chef de classe normale;5735;DÉCRET N° 2007-1186 DU 03/08/07 DANS LES DOMAINES DE LEUR COMPETENCE, ILS COORDONNENT LES ACTIVITES QUI CONCOURRENT A LA REALISATION DES OBJECTIFS ARRETES PAR LE DIRECTEUR DE L'ETABLISSEMENT A CE TITRE, ILS REALISENT LES ETUDES PREALABLES ET METTENT AU POINT LES PROJETS, ELABORENT ET GERENT LES PROGRAMMES DONT ILS CONDUISENT LA REALISATION, PARTICIPENT AU CHOIX, A L'INSTALLATION ET A LA MISE EN OEUVRE DES EQUIPEMENTS, ASSURENT LA MAINTENANCE DES MATERIELS ET L'ENTRETIEN DES BATIMENTS..MODIFIÉ PAR LE DÉCRET N° 2017-1378 DU 20 SEPTEMBRE 2017, PAR LE DÉCRET N° 2017-1374 DU 20 SEPTEMBRE 2017  ET PAR L'ARRÊTÉ DU 20 SEPTEMBRE 2017, REVALORISATIONS AUX 01/01/2017, AU 01/01/2018 (PAS DE CHANGEMENT AU 01/01/19 ET AU 01/01/20)..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 28/12/17 À COMPTER DU  01/01/18, AU 01/01/2019..CONFORMÉMENT À LA CIRCULAIRE N° 2017-05 SUR LA MISE EN ¼UVRE DU PPCR, LA DURÉE D'AVANCEMENT DE CHAQUE ÉCHELON EST DEVENUE « FIXE » À COMPTER DU 01/01/2017..MODIFIÉ PAR DÉCRETS N°2018-999 ET 1000 ET ARRÊTÉ DU 16/11/18: À COMPTER DU 19/11/18 LE CORPS DES INGÉNIEURS DE L'APHP ET LE CORPS DES INGÉNIEURS FPH SONT REGROUPÉS ( SANS AUTRE CHANGEMENT POUR CE GRADE)
0851;INGENIEUR EN CHEF DE CLASSE EXCEPTIONNELLE;5745;Ingénieur hospitalier en chef de classe exceptionnelle;INGENIEUR EN CHEF DE CLASSE EXCEPTIONNELLE;Ingénieur hospitalier en chef de classe exceptionnelle;5745;DÉCRET N°2007-1186 DU 03/08/07 DANS LES DOMAINES DE LEUR COMPETENCE, ILS COORDONNENT LES ACTIVITES QUI CONCOURRENT A LA REALISATION DES OBJECTIFS ARRETES PAR LE DIRECTEUR DE L'ETABLISSEMENT A CE TITRE, ILS REALISENT LES ETUDES PREALABLES ET METTENT AU POINT LES PROJETS, ELABORENT ET GERENT LES PROGRAMMES DONT ILS CONDUISENT LA REALISATION, PARTICIPENT AU CHOIX, A L'INSTALLATION ET A LA MISE EN OEUVRE DES EQUIPEMENTS, ASSURENT LA MAINTENANCE DES MATERIELS ET L'ENTRETIEN DES BATIMENTS..MODIFIÉ PAR LES DÉCRETS N° 2017-1378 ET 1374 DU 20 SEPTEMBRE 2017 ET L'ARRÊTÉ DU 20 SEPTEMBRE 2017 REVALORISATIONS AUX 01/01/2017, AU 01/01/2018 (PAS DE CHANGEMENT INDICIAIRE AU 01/01/2019 ET AU 01/01/2020) ET POUR LES HORS ÉCHELLES PAR DÉCRET N° 2017-85 DU 26/01/17 ..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 28/12/17 À COMPTER DU  01/01/18, AU 01/01/2019..CONFORMÉMENT À LA CIRCULAIRE N° 2017-05 SUR LA MISE EN ¼UVRE DU PPCR, LA DURÉE D'AVANCEMENT DE CHAQUE ÉCHELON EST DEVENUE « FIXE » À COMPTER DU 01/01/2017..MODIFIÉ PAR DÉCRETS N°2018-999 ET 1000 ET ARRÊTÉ DU 16/11/18: À COMPTER DU 19/11/18 LE CORPS DES INGÉNIEURS DE L'APHP ET LE CORPS DES INGÉNIEURS FPH SONT REGROUPÉS ( SANS AUTRE CHANGEMENT POUR CE GRADE)
0852;ATTACHE PRINCIPAL D'ADMINISTRATION;0423;Attaché principal d'administration hospitalière;ATTACHE PRINCIPAL D'ADMINISTRATION;Attaché principal d'administration hospitalière;0423;DÉCRETS N°2007-1187 ET 1189 DU 03/08/07..MODIFIÉ PAR DÉCRETS N°2018-506 ET 507 DU 21 JUIN 2018 ET ARRÊTÉ DU 21 JUIN 2018
0853;EDUCATEUR TECHNIQUE SPECIALISE DE CLASSE NORMALE;2642;Educateur technique spécialisé de classe normale;EDUCATEUR TECHNIQUE SPECIALISE PREMIER GRADE;Educateur technique spécialisé de classe normale;2644;CF AUX DÉCRETS N°2007-1190 ET 1192 DU 03/08/07 REVALO PAR DÉCRETS N°2014-100 ET 104 DU 04/02/2014 ET ARRÊTÉ DÉCRETS N°2016-635 ET 643 DU 19 MAI 2016 +ARRÊTÉ MODIF DES DURÉES D'AVANCEMENT DES ÉCHELONS AU 22/05/16 EN DURÉE FIXE (C A D PLUS DE MINI, MAXI ET MOYEN) REVALORISATION LE 01/01/16 , 01/01/17AVEC RECLASSEMENT, ET LE 01/01/18..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 27/04/17 À COMPTER DU  01/01/18, AU 01/01/2019.
0854;EDUCATEUR TECHNIQUE SPECIALISE DE CLASSE SUPERIEURE;2643;Educateur technique spécialisé de classe supérieure;EDUCATEUR TECHNIQUE SPECIALISE PREMIER GRADE;Educateur technique spécialisé de classe supérieure;2645;CF AUX DÉCRETS N°2007-1190 ET 1192 DU 03/08/07 REVALO PAR DÉCRETS N°2014-100 ET 104 DU 04/02/2014 ET ARRÊTÉ DÉCRETS N°2016-635 ET 643 DU 19 MAI 2016 +ARRÊTÉ MODIF DES DURÉES D'AVANCEMENT DES ÉCHELONS AU 22/05/16 EN DURÉE FIXE (C A D PLUS DE MINI, MAXI ET MOYEN) REVALORISATION LE 01/01/16 , 01/01/17AVEC RECLASSEMENT, ET LE 01/01/18..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 27/04/17 À COMPTER DU  01/01/18, AU 01/01/2019.
0855;EDUCATEUR DE JEUNES ENFANTS DE CLASSE NORMALE;2649;Educateur de jeunes enfants de classe normale;EDUCATEUR DE JEUNES ENFANTS (PREMIER GRADE);Educateur de jeunes enfants de classe normale;2649;CF AUX DÉCRETS N°2007-1190 ET 1193 DU 03/08/07 REVALO PAR DÉCRETS N°2014-100 ET 104 DU 04/02/2014 ET ARRÊTÉ DÉCRETS N°2016-635 ET 643 DU 19 MAI 2016 +ARRÊTÉ MODIF DES DURÉES D'AVANCEMENT DES ÉCHELONS AU 22/05/16 EN DURÉE FIXE (C A D PLUS DE MINI, MAXI ET MOYEN) REVALORISATION LE 01/01/16 , 01/01/17AVEC RECLASSEMENT, ET LE 01/01/18..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 27/04/17 À COMPTER DU  01/01/18, AU 01/01/2019.
0856;EDUCATEUR DE JEUNES ENFANTS DE CLASSE SUPERIEURE;2650;Educateur de jeunes enfants de classe supérieure;EDUCATEUR DE JEUNES ENFANTS (PREMIER GRADE);Educateur de jeunes enfants de classe supérieure;2650;CF AUX DÉCRETS N°2007-1190 ET 1193 DU 03/08/07 REVALO PAR DÉCRETS N°2014-100 ET 104 DU 04/02/2014 ET ARRÊTÉ DÉCRETS N°2016-635 ET 643 DU 19 MAI 2016 +ARRÊTÉ MODIF DES DURÉES D'AVANCEMENT DES ÉCHELONS AU 22/05/16 EN DURÉE FIXE (C A D PLUS DE MINI, MAXI ET MOYEN) REVALORISATION LE 01/01/16 , 01/01/17 AVEC RECLASSEMENT, ET LE 01/01/18..LA DATE D'EFFET DE LA REVALORISATION AU TITRE DU PPCR DU 01/01/2018 A ÉTÉ REPORTÉE PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 ET L'ARRÊTÉ DU 27/04/17 À COMPTER DU  01/01/18, AU 01/01/2019.
0857;AGENT CHEF DE CLASSE EXCEPTIONNELLE;4104;Agent chef de classe exceptionnelle;TECHNICIEN SUPERIEUR DE PREMIERE CLASSE (TROISIEME GRADE);Technicien supérieur hospitalier de 1ère classe;5866;"DÉCRETS N° 2007-1185 ET 1196 DU 03/08/07 ILS ASSISTENT ET SUPPLÉENT LES AGENTS RESPONSABLES DES SERVICES TECHNIQUES; ILS PEUVENT DIRIGER, COORDONNER ET CONTRÔLER LES ACTIVITÉS DE PLUSIEURS ATELIERS"
0858;AGENT DE MAITRISE (ECH 5/ECHC2);4110;Agent de maîtrise;AGENT DE MAITRISE (ECH 5/ECHC2);Agent de maîtrise;4110;DÉCRET N° 2007-1185 DU 03/08/07 DECERT 2016-1705 DU 12/12/2016, DECRET 2016-363 DU 19/05/2016 ET ARRETE DU 19/052016 LES AGENTS DE MAÎTRISE SONT CHARGÉS DE MISSIONS ET DE TRAVAUX TECHNIQUES COMPORTANT NOTAMMENT LE CONTRÔLE DE LA BONNE EXÉCUTION DES TRAVAUX CONFIÉS À UN GROUPE D'AGENTS D'ENTRETIEN QUALIFIÉS, D'OUVRIERS PRINCIPAUX OU DE CONDUCTEURS AMBULANCIERS OU À DES ENTREPRISES ILS EXERCENT NOTAMMENT DES FONCTIONS DE CONTREMAÎTRE, DE CHEF DE GARAGE ET DE CONTRÔLEUR TECHNIQUE D'ENTRETIEN ILS PEUVENT ENCADRER, SOUS L'AUTORITÉ DE LEUR SUPÉRIEUR HIÉRARCHIQUE, UN OU PLUSIEURS ATELIERS, SERVICES OU PÔLES D'ACTIVITÉS LES AGENTS RECRUTÉS DANS LE CORPS DES AGENTS DE MAÎTRISE SONT TITULARISÉS DANS CE CORPS DÈS LEUR NOMINATION..MODIFIÉ PAR DÉCRET N° 2016-1705 DU 12 DÉCEMBRE 2016 ET DÉCRET N°2016-636 ET ARRÊTÉ DU 19 MAI 2016
